AT1G09450	Haspin	GO:0072354	IDA	NCBITaxon:3702		TAIR:Publication:501742362|PMID:21527018
AT1G09450	Haspin	GO:0035402	IDA	NCBITaxon:3702		TAIR:Publication:501742362|PMID:21527018
AT2G25880	AUR2	GO:0035175	IDA	NCBITaxon:3702		TAIR:Publication:501720492|PMID:16028112
AT1G68830	STN7	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501714752|PMID:15729347
AT4G24400	CIPK8	GO:0004672	TAS	NCBITaxon:3702		TAIR:Publication:501681399|PMID:12029080
AT4G24400	CIPK8	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501742526|PMID:21477822
AT3G27190	UKL2	GO:0004849	IDA	NCBITaxon:3702		TAIR:Publication:501744867|PMID:21828290
AT5G61350	CAP1	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501759625|PMID:24769480
AT5G60550	GRIK2	GO:0016301	IMP	NCBITaxon:3702		TAIR:Publication:501720098|PMID:17041027
AT5G60550	GRIK2	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501736136|PMID:20164192
AT5G60550	GRIK2	GO:0016301	IDA	NCBITaxon:3702		TAIR:Publication:501720744|PMID:17237223
AT5G60550	GRIK2	GO:0016301	IDA	NCBITaxon:3702		TAIR:Publication:501730273|PMID:19339507
AT1G16130	WAKL2	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501742526|PMID:21477822
AT4G29810	MKK2	GO:0004708	TAS	NCBITaxon:3702		TAIR:Publication:501683496|PMID:12119167
AT4G29810	MKK2	GO:0004708	IDA	NCBITaxon:3702		TAIR:Publication:501712959|PMID:15225555
AT3G05840	ATSK12	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501742526|PMID:21477822
AT5G26570	PWD	GO:0019200	IDA	NCBITaxon:3702		TAIR:Publication:501714648|PMID:15686522
AT5G26570	PWD	GO:0051752	IDA	NCBITaxon:3702		TAIR:Publication:501714402|PMID:15618411
AT1G12000	AT1G12000	GO:0047334	IMP	NCBITaxon:3702		TAIR:Publication:501733320|PMID:19533038
AT1G03930	ADK1	GO:0004712	IDA	NCBITaxon:3702		TAIR:Publication:4616|PMID:7527390
AT4G04490	CRK36	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501747196|PMID:22225700
AT1G10470	ARR4	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501742526|PMID:21477822
AT3G18750	WNK6	GO:0004672	TAS	NCBITaxon:3702		TAIR:Publication:501683074|PMID:12506983
AT5G40440	MKK3	GO:0004707	IDA	NCBITaxon:3702		TAIR:Publication:501742109|PMID:21419340
AT5G40440	MKK3	GO:0004708	IDA	NCBITaxon:3702		TAIR:Publication:501723366|PMID:17933903
AT1G68330	AT1G68330	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501742526|PMID:21477822
AT2G45490	AUR3	GO:0035175	IDA	NCBITaxon:3702		TAIR:Publication:501720492|PMID:16028112
AT2G45490	AUR3	GO:0044022	IDA	NCBITaxon:3702		TAIR:Publication:501742362|PMID:21527018
AT3G50500	SNRK2.2	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501720952|PMID:17307925
AT3G50500	SNRK2.2	GO:0016301	IDA	NCBITaxon:3702		TAIR:Publication:501713105|PMID:15292193
AT2G46700	CRK3	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501718550|PMID:16472779
AT4G01190	PIPK10	GO:0016308	IDA	NCBITaxon:3702		TAIR:Publication:501716535|PMID:15949803
AT5G54380	THE1	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501722624|PMID:17540573
AT3G51550	FER	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501723005|PMID:17673660
AT1G09970	LRR XI-23	GO:0004672	IDA	NCBITaxon:3702		TAIR:Publication:501725140|PMID:18552232
AT3G61080	AT3G61080	GO:0016301	IDA	NCBITaxon:3702		TAIR:Publication:501714716|PMID:15705060
AT3G29350	AHP2	GO:0009927	IDA	NCBITaxon:3702		TAIR:Publication:1764|PMID:10050311
AT3G29350	AHP2	GO:0009927	IDA	NCBITaxon:3702		TAIR:Publication:2065|PMID:9804162
NAD kinase 2	NADK2	GO:0003951	IDA	NCBITaxon:3702		TAIR:Publication:501712886|PMID:15247403
""	APK1A	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:5331|PMID:1450380
AT4G03260	AT4G03260	GO:0004674	IDA	NCBITaxon:3702		TAIR:Publication:501742526|PMID:21477822
