source	target	interaction	symmetry	weight	negation
at1g09200	at5g24330	validated_ppi	symmetrical	0.8052028517951765	affirmative
at1g21240	at3g14860	validated_ppi	symmetrical	1.0	affirmative
at2g20180	at2g47060	activation	asymmetrical	1.0	affirmative
at3g20600	at5g41180	validated_ppi	symmetrical	1.0	affirmative
at1g47670	at5g50090	validated_ppi	symmetrical	1.0	affirmative
at3g45640	at4g21830	phosphorylation	asymmetrical	1.5854766465	affirmative
at3g53210	at5g37050	validated_ppi	symmetrical	1.0	affirmative
at3g49580	at5g09320	validated_ppi	symmetrical	1.0	affirmative
at3g66654	at5g62850	validated_ppi	symmetrical	1.0	affirmative
at3g22840	at4g12000	validated_ppi	symmetrical	1.0	affirmative
at3g61460	at5g06320	validated_ppi	symmetrical	1.0	affirmative
at1g03950	at4g29160	validated_ppi	symmetrical	1.0	affirmative
at2g18170	at3g21175	phosphorylation	asymmetrical	1.0	affirmative
at3g15710	at3g52640	validated_ppi	symmetrical	1.0	affirmative
at2g41400	at4g04750	validated_ppi	symmetrical	1.0	affirmative
at1g21550	at2g41100	validated_ppi	symmetrical	1.0	affirmative
at1g64900	at2g26300	validated_ppi	symmetrical	1.1580650590000001	affirmative
at1g65690	at5g20230	validated_ppi	symmetrical	3.950197126	affirmative
at4g17730	at5g01540	validated_ppi	symmetrical	1.489576939	affirmative
at1g31880	at4g26640	validated_ppi	symmetrical	1.0	affirmative
at1g54730	at5g63030	validated_ppi	symmetrical	1.1669583485	affirmative
at1g21240	at4g08300	validated_ppi	symmetrical	1.0	affirmative
at1g27300	at4g35580	validated_ppi	symmetrical	1.0	affirmative
at1g34640	at2g38510	validated_ppi	symmetrical	1.0	affirmative
at1g11940	at5g19700	validated_ppi	symmetrical	1.0	affirmative
at1g29060	at5g59500	validated_ppi	symmetrical	1.0	affirmative
at2g43790	at1g03680	phosphorylation	asymmetrical	1.0	affirmative
at2g23980	at3g10640	validated_ppi	symmetrical	1.0	affirmative
at1g11450	at3g26370	validated_ppi	symmetrical	1.0	affirmative
at2g26180	at3g45700	validated_ppi	symmetrical	1.0	affirmative
at3g01690	at5g28900	validated_ppi	symmetrical	1.0	affirmative
at2g41100	at4g34380	validated_ppi	symmetrical	2.053763767	affirmative
at2g47600	at4g28330	validated_ppi	symmetrical	1.0	affirmative
at4g25360	at5g58560	validated_ppi	symmetrical	1.0	affirmative
at2g35620	at4g37680	validated_ppi	symmetrical	1.0	affirmative
at3g49190	at4g20790	validated_ppi	symmetrical	1.0	affirmative
at2g20180	at2g27290	activation	asymmetrical	1.0	affirmative
at2g20180	at4g18710	activation	asymmetrical	1.0	affirmative
at1g76185	at4g20790	validated_ppi	symmetrical	1.0	affirmative
at1g29060	at3g03770	validated_ppi	symmetrical	1.0	affirmative
at1g34640	at2g38120	validated_ppi	symmetrical	0.0	affirmative
at1g11450	at1g29060	validated_ppi	symmetrical	1.0	affirmative
at1g47640	at3g46280	validated_ppi	symmetrical	1.0	affirmative
at3g14760	at5g47180	validated_ppi	symmetrical	0.0	affirmative
at1g13140	at1g17280	validated_ppi	symmetrical	1.0	affirmative
at1g05200	at5g06320	validated_ppi	symmetrical	1.0	affirmative
at3g47620	at5g66720	validated_ppi	symmetrical	1.0	affirmative
at1g13270	at2g16250	validated_ppi	symmetrical	1.0	affirmative
at1g16260	at1g17280	validated_ppi	symmetrical	1.3381111475	affirmative
at3g16510	at4g30850	validated_ppi	symmetrical	1.0	affirmative
at1g78300	at2g01950	validated_ppi	symmetrical	0.0	affirmative
at1g70520	at4g35950	validated_ppi	symmetrical	1.5739003605000002	affirmative
at1g48440	at3g20600	validated_ppi	symmetrical	1.0	affirmative
at4g31330	at5g52240	validated_ppi	symmetrical	1.146159996	affirmative
at3g53190	at5g52860	validated_ppi	symmetrical	1.0	affirmative
at4g18960	at5g13790	validated_ppi	symmetrical	1.0	affirmative
at1g29060	at4g22130	validated_ppi	symmetrical	1.0	affirmative
at3g57650	at5g43460	validated_ppi	symmetrical	1.0	affirmative
at4g33950	at5g46240	protein regulation	asymmetrical	0.0	affirmative
at4g04020	at5g43080	validated_ppi	symmetrical	0.0	affirmative
at4g19865	at4g20790	validated_ppi	symmetrical	1.0	affirmative
at2g01420	at2g22425	validated_ppi	symmetrical	1.0	affirmative
at3g10640	at5g60270	validated_ppi	symmetrical	1.0	affirmative
at2g29410	at3g12180	validated_ppi	symmetrical	1.0	affirmative
at1g80670	at2g17520	validated_ppi	symmetrical	1.2626001345	affirmative
at1g77350	at5g67130	validated_ppi	symmetrical	1.0	affirmative
at4g14455	at4g31840	validated_ppi	symmetrical	0.0	affirmative
at1g43850	at3g54340	validated_ppi	symmetrical	1.0	affirmative
at4g22200	at5g46240	validated_ppi	symmetrical	0.7442635501891043	affirmative
at1g64230	at3g26980	validated_ppi	symmetrical	1.2808780285	affirmative
at2g22490	at3g12280	validated_ppi	symmetrical	1.0	affirmative
at3g48750	at5g02110	validated_ppi	symmetrical	1.0	affirmative
at1g07650	at4g14455	validated_ppi	symmetrical	1.475050115	affirmative
at3g22750	at3g51920	validated_ppi	symmetrical	1.0	affirmative
at1g31880	at1g69810	validated_ppi	symmetrical	1.0	affirmative
at1g11910	at5g13530	validated_ppi	symmetrical	1.0	affirmative
at2g04050	at2g26180	validated_ppi	symmetrical	1.8794191785	affirmative
at1g21240	at3g03050	validated_ppi	symmetrical	1.0	affirmative
at2g38750	at4g34440	validated_ppi	symmetrical	0.0	affirmative
at3g52850	at5g63030	validated_ppi	symmetrical	1.1669583485	affirmative
at1g44110	at4g11920	validated_ppi	symmetrical	0.0	affirmative
at1g14700	at5g41800	validated_ppi	symmetrical	1.0	affirmative
at2g24540	at3g51920	validated_ppi	symmetrical	1.0	affirmative
at2g32040	at4g37680	validated_ppi	symmetrical	1.0	affirmative
at1g55310	at3g22310	validated_ppi	symmetrical	1.0	affirmative
at1g63120	at5g66680	validated_ppi	symmetrical	1.0	affirmative
at1g14340	at4g25660	validated_ppi	symmetrical	0.0	affirmative
at1g63110	at2g12400	validated_ppi	symmetrical	1.0	affirmative
at2g29100	at4g30560	validated_ppi	symmetrical	1.0	affirmative
at1g34640	at5g47410	validated_ppi	symmetrical	1.0	affirmative
at2g13610	at4g14690	validated_ppi	symmetrical	1.3144412085	affirmative
